date,ticker,open,high,low,close,volume,price_adjusted
2019-08-09,^MXX,40463.75,40501.69921875,40110.921875,40421.28125,117642000,40421.28125
2019-08-12,^MXX,40311.12109375,40347.37890625,39810.140625,39851.2109375,138796900,39851.2109375
2019-08-13,^MXX,39786.26953125,40010.87109375,39430.80078125,39476.5,162811500,39476.5
2019-08-14,^MXX,39345.5703125,39351.23828125,38562.12890625,38650.08984375,295728800,38650.08984375
2019-08-15,^MXX,38622.44140625,38858.2890625,38265.51171875,38574.1796875,172249400,38574.1796875
2019-08-16,^MXX,38636.21875,39374.7109375,38611.05859375,39339.55078125,245976900,39339.55078125
2019-08-19,^MXX,39396.5,39830.30078125,39352.390625,39556.3203125,203666400,39556.3203125
2019-08-20,^MXX,39551.5703125,39842.94921875,39435.671875,39700.05078125,203216500,39700.05078125
2019-08-21,^MXX,39780.30078125,40122.44921875,39697.1015625,40076.0390625,269006000,40076.0390625
2019-08-22,^MXX,40072.37109375,40378.73046875,40023.6796875,40144.23828125,180439600,40144.23828125
2019-08-23,^MXX,40000.890625,40226.6484375,39782.73046875,39862.0703125,146431200,39862.0703125
2019-08-26,^MXX,39915.5703125,40144.8203125,39887.62109375,40081.71875,134615300,40081.71875
2019-08-27,^MXX,40105.19140625,40721.359375,40105.19140625,40648.96875,561318900,40648.96875
2019-08-28,^MXX,40654.390625,41065.421875,40580.9609375,40941.9609375,168519400,40941.9609375
2019-08-29,^MXX,41030.12890625,42005.33984375,41030.12890625,41831.30078125,221653700,41831.30078125
2019-08-30,^MXX,42000.890625,42680.23046875,41898.671875,42622.5,334492800,42622.5
2019-09-02,^MXX,42621.87109375,42621.87109375,41988.01171875,42108.23046875,43877100,42108.23046875
2019-09-03,^MXX,42222.28125,42237.3984375,41724.23046875,41826.55078125,227203800,41826.55078125
2019-09-04,^MXX,41934.4296875,42359.890625,41901.98046875,42324.46875,330571700,42324.46875
2019-09-05,^MXX,42495.98046875,42768.62109375,42475.5,42731.48046875,156447400,42731.48046875
2019-09-06,^MXX,42873.6015625,43037.26171875,42615.30859375,42707.66015625,122346300,42707.66015625
2019-09-09,^MXX,42808.23046875,43231.51953125,42555.8203125,42662.46875,105424500,42662.46875
2019-09-10,^MXX,42607.98828125,42860.2890625,42402.6484375,42588.1015625,151218400,42588.1015625
2019-09-11,^MXX,42607.671875,42809.05078125,42483.1015625,42749.171875,134325300,42749.171875
2019-09-12,^MXX,42798.12890625,43030.26953125,42589.12890625,42670.41015625,138966200,42670.41015625
2019-09-13,^MXX,42716.87109375,42995.328125,42675.87890625,42841.4609375,106896800,42841.4609375
2019-09-17,^MXX,42823.51171875,43486.62109375,42743.26171875,43448.94140625,213641200,43448.94140625
2019-09-18,^MXX,43396.19140625,43456.859375,42902.37109375,43070.33984375,148961100,43070.33984375
2019-09-19,^MXX,43102.80859375,43139.03125,42937.05859375,43017.4609375,113237000,43017.4609375
2019-09-20,^MXX,43084.33984375,43665.94140625,43014.51953125,43559.44921875,836150600,43559.44921875
2019-09-23,^MXX,43436.21875,43531.71875,43401.5703125,43507.94921875,103045100,43507.94921875
2019-09-24,^MXX,43497.671875,43560.05078125,43051.21875,43099.328125,142811800,43099.328125
2019-09-25,^MXX,43099.01171875,43099.01171875,42563.0703125,43014.078125,184974700,43014.078125
2019-09-26,^MXX,43051.01171875,43220.83984375,42835.3203125,42984.75,147086300,42984.75
2019-09-27,^MXX,43042.44921875,43042.44921875,42750.16015625,42857.578125,103303400,42857.578125
2019-09-30,^MXX,42782.0703125,43230.6484375,42776.421875,43011.26953125,185049400,43011.26953125
2019-10-01,^MXX,43006.12109375,43110.30078125,42863.48828125,42937.16015625,117491300,42937.16015625
2019-10-02,^MXX,42787.5390625,42804.4609375,42128.96875,42222.8984375,123038000,42222.8984375
2019-10-03,^MXX,42202.66015625,42504.08984375,42107.01171875,42443.30859375,96559200,42443.30859375
2019-10-04,^MXX,42457.55078125,43448.640625,42426.828125,43416.8984375,125587800,43416.8984375
2019-10-07,^MXX,43402.16015625,43403.94140625,42903.37890625,42952.2890625,101995800,42952.2890625
2019-10-08,^MXX,42914.80078125,42940.6796875,42489.3984375,42535.140625,156602300,42535.140625
2019-10-09,^MXX,42591.98046875,42807.2109375,42445.94140625,42501.921875,136161300,42501.921875
